@RELATION teste

@ATTRIBUTE K0	REAL
@ATTRIBUTE K1	REAL
@ATTRIBUTE K2	REAL
@ATTRIBUTE K3	REAL
@ATTRIBUTE K4	REAL
@ATTRIBUTE K5	REAL
@ATTRIBUTE K6	REAL
@ATTRIBUTE K7	REAL
@ATTRIBUTE K8	REAL


@DATA
0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00,0.00
2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.48,0.00,0.48,0.00,0.48,0.00,0.00,0.00
0.00,0.00,0.00,0.00,1.31,0.65,0.00,0.00,0.00
0.00,0.00,0.00,2.86,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.48,0.00,0.48,0.00,0.48,0.00
0.00,0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.86
0.00,0.00,0.65,0.00,0.00,0.00,0.00,1.31,0.00
0.48,0.48,0.00,0.48,0.00,0.00,0.00,0.00,0.00
0.65,0.00,0.00,0.00,0.00,0.00,1.31,0.00,0.00
0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.86
0.48,0.00,0.00,0.00,0.00,0.48,0.00,0.48,0.00
0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.31,0.65
0.00,0.00,0.00,0.00,0.00,0.00,1.31,0.65,0.00
0.00,0.00,1.31,0.65,0.00,0.00,0.00,0.00,0.00
1.31,0.00,0.65,0.00,0.00,0.00,0.00,0.00,0.00
0.48,0.00,0.00,0.00,0.00,0.00,0.48,0.48,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.65,1.31,0.00
0.00,0.00,0.00,0.65,1.31,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.86,0.00
0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00,0.00
0.48,0.00,0.48,0.00,0.48,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.86,0.00
0.00,0.00,0.00,2.86,0.00,0.00,0.00,0.00,0.00
0.00,0.48,0.48,0.48,0.00,0.00,0.00,0.00,0.00
2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.48,0.48,0.00,0.48,0.00,0.00,0.00
1.31,0.00,0.00,0.00,0.00,0.00,0.65,0.00,0.00
0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.86,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.86
1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.00
0.00,0.00,0.00,0.00,3.82,0.00,0.00,0.00,0.00
0.00,0.00,0.95,0.48,0.00,0.00,0.00,0.48,0.00
0.00,0.00,0.00,0.00,0.00,0.00,1.31,0.00,1.31
0.00,0.00,0.00,0.00,0.00,1.31,1.31,0.00,0.00
0.00,3.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.65,0.00,0.00,0.00,1.96,0.00,0.00,0.00
0.48,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.95
0.00,1.96,0.65,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.82
0.00,3.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,3.82,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.48,0.00,0.00,0.48,0.95,0.00,0.00
0.00,0.48,0.48,0.95,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,1.31,0.00,1.31,0.00,0.00,0.00
0.00,0.00,0.00,0.00,3.82,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,1.31,1.31,0.00
0.00,0.00,0.26,0.00,0.26,0.26,0.26,0.00,0.26
0.00,1.43,0.48,0.00,0.00,0.00,0.48,0.00,0.00
0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.95,0.95
1.43,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.48
0.00,0.00,0.00,0.00,0.00,4.77,0.00,0.00,0.00
0.00,0.00,4.77,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.65,0.00,0.00,0.00,2.61
0.00,0.00,0.70,0.35,0.00,0.35,0.00,0.35,0.00
0.00,0.48,0.00,0.00,0.00,0.48,0.00,0.00,1.43
0.00,4.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,3.27,0.00,0.00,0.65
0.00,0.00,0.00,0.00,0.00,3.27,0.00,0.65,0.00
0.00,0.35,0.70,0.00,0.00,0.00,0.00,0.70,0.35
0.00,0.00,0.00,0.00,0.00,0.00,1.31,2.61,0.00
0.00,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00
1.06,0.35,0.35,0.00,0.00,0.00,0.35,0.00,0.00
0.00,0.00,0.95,0.00,0.00,0.95,0.00,0.95,0.00
0.00,5.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
0.00,0.00,0.00,3.27,1.31,0.00,0.00,0.00,0.00
0.00,0.00,0.48,0.00,0.00,2.39,0.48,0.00,0.00
0.00,6.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.68
0.35,0.00,1.41,0.00,0.70,0.35,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,7.63,0.00,0.00,0.00
0.00,0.00,0.00,7.63,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,4.57
0.00,0.00,0.00,0.00,0.00,1.76,0.70,0.35,0.35
0.00,2.86,0.48,0.00,0.00,0.00,0.00,0.95,0.00
0.18,0.00,0.00,0.53,0.18,0.35,0.18,0.35,0.00
0.00,0.22,0.11,0.22,0.11,0.00,0.22,0.11,0.11
0.00,5.23,1.31,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.11,0.11,0.33,0.11,0.00,0.33,0.11,0.11
0.00,0.00,0.00,0.00,0.00,0.00,1.43,2.39,1.91
0.53,0.35,0.00,0.00,0.18,0.53,0.35,0.35,0.00
0.05,0.05,0.10,0.10,0.00,0.05,0.10,0.15,0.10
